fye,region_slug,region_name,revenue_type_slug,amount_bn,pct_of_regional_total
2024-25,north-east,North East,income_tax,7.13,21.4
2024-25,north-east,North East,vat,6.3,18.9
2024-25,north-east,North East,national_insurance,5.32,15.9
2024-25,north-east,North East,other,4.47,13.4
2024-25,north-east,North East,gross_operating_surplus,2.2,6.6
2024-25,north-east,North East,interest_and_dividends,1.87,5.6
2024-25,north-east,North East,council_tax,1.79,5.4
2024-25,north-east,North East,corporation_tax,1.73,5.2
2024-25,north-east,North East,fuel_duties,0.88,2.6
2024-25,north-east,North East,business_rates,0.79,2.4
2024-25,north-east,North East,excise_duties,0.73,2.2
2024-25,north-east,North East,capital_gains_tax,0.16,0.5
2024-25,north-west,North West,income_tax,23.99,22.6
2024-25,north-west,North West,vat,19.19,18.0
2024-25,north-west,North West,national_insurance,16.41,15.4
2024-25,north-west,North West,other,13.08,12.3
2024-25,north-west,North West,corporation_tax,7.58,7.1
2024-25,north-west,North West,interest_and_dividends,6.65,6.3
2024-25,north-west,North West,gross_operating_surplus,5.81,5.5
2024-25,north-west,North West,council_tax,5.14,4.8
2024-25,north-west,North West,business_rates,2.61,2.5
2024-25,north-west,North West,fuel_duties,2.58,2.4
2024-25,north-west,North West,excise_duties,2.31,2.2
2024-25,north-west,North West,capital_gains_tax,0.98,0.9
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,income_tax,16.59,21.6
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,vat,13.76,17.9
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,national_insurance,11.31,14.7
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,other,9.47,12.3
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,corporation_tax,5.55,7.2
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,interest_and_dividends,5.55,7.2
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,gross_operating_surplus,4.72,6.1
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,council_tax,3.65,4.7
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,fuel_duties,2.07,2.7
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,business_rates,1.84,2.4
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,excise_duties,1.65,2.1
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,capital_gains_tax,0.73,0.9
2024-25,east-midlands,East Midlands,income_tax,16.12,23.9
2024-25,east-midlands,East Midlands,vat,11.62,17.2
2024-25,east-midlands,East Midlands,national_insurance,10.85,16.1
2024-25,east-midlands,East Midlands,other,7.96,11.8
2024-25,east-midlands,East Midlands,gross_operating_surplus,4.65,6.9
2024-25,east-midlands,East Midlands,corporation_tax,4.16,6.2
2024-25,east-midlands,East Midlands,council_tax,3.49,5.2
2024-25,east-midlands,East Midlands,interest_and_dividends,2.37,3.5
2024-25,east-midlands,East Midlands,fuel_duties,2.16,3.2
2024-25,east-midlands,East Midlands,business_rates,1.72,2.6
2024-25,east-midlands,East Midlands,excise_duties,1.62,2.4
2024-25,east-midlands,East Midlands,capital_gains_tax,0.68,1.0
2024-25,west-midlands,West Midlands,income_tax,18.62,22.7
2024-25,west-midlands,West Midlands,vat,14.28,17.4
2024-25,west-midlands,West Midlands,national_insurance,12.74,15.5
2024-25,west-midlands,West Midlands,other,9.89,12.1
2024-25,west-midlands,West Midlands,gross_operating_surplus,6.31,7.7
2024-25,west-midlands,West Midlands,corporation_tax,5.56,6.8
2024-25,west-midlands,West Midlands,council_tax,3.96,4.8
2024-25,west-midlands,West Midlands,interest_and_dividends,3.57,4.4
2024-25,west-midlands,West Midlands,fuel_duties,2.34,2.9
2024-25,west-midlands,West Midlands,business_rates,2.1,2.6
2024-25,west-midlands,West Midlands,excise_duties,1.85,2.3
2024-25,west-midlands,West Midlands,capital_gains_tax,0.75,0.9
2024-25,east-of-england,East of England,income_tax,31.92,29.6
2024-25,east-of-england,East of England,national_insurance,17.66,16.4
2024-25,east-of-england,East of England,vat,16.39,15.2
2024-25,east-of-england,East of England,other,12.26,11.4
2024-25,east-of-england,East of England,corporation_tax,6.59,6.1
2024-25,east-of-england,East of England,gross_operating_surplus,6.53,6.1
2024-25,east-of-england,East of England,council_tax,5.0,4.6
2024-25,east-of-england,East of England,interest_and_dividends,2.92,2.7
2024-25,east-of-england,East of England,fuel_duties,2.67,2.5
2024-25,east-of-england,East of England,business_rates,2.5,2.3
2024-25,east-of-england,East of England,excise_duties,1.9,1.8
2024-25,east-of-england,East of England,capital_gains_tax,1.35,1.3
2024-25,london,London,income_tax,79.17,32.9
2024-25,london,London,national_insurance,35.93,14.9
2024-25,london,London,corporation_tax,33.38,13.9
2024-25,london,London,other,27.75,11.5
2024-25,london,London,vat,22.9,9.5
2024-25,london,London,gross_operating_surplus,14.52,6.0
2024-25,london,London,business_rates,8.04,3.3
2024-25,london,London,council_tax,6.14,2.6
2024-25,london,London,interest_and_dividends,5.33,2.2
2024-25,london,London,capital_gains_tax,3.84,1.6
2024-25,london,London,excise_duties,2.02,0.8
2024-25,london,London,fuel_duties,1.52,0.6
2024-25,south-east,South East,income_tax,55.88,30.7
2024-25,south-east,South East,national_insurance,28.39,15.6
2024-25,south-east,South East,vat,25.94,14.3
2024-25,south-east,South East,other,20.02,11.0
2024-25,south-east,South East,corporation_tax,12.52,6.9
2024-25,south-east,South East,gross_operating_surplus,12.27,6.7
2024-25,south-east,South East,council_tax,8.06,4.4
2024-25,south-east,South East,interest_and_dividends,5.69,3.1
2024-25,south-east,South East,business_rates,3.86,2.1
2024-25,south-east,South East,fuel_duties,3.61,2.0
2024-25,south-east,South East,capital_gains_tax,3.05,1.7
2024-25,south-east,South East,excise_duties,2.65,1.5
2024-25,south-west,South West,income_tax,21.55,24.0
2024-25,south-west,South West,vat,15.95,17.7
2024-25,south-west,South West,national_insurance,12.6,14.0
2024-25,south-west,South West,other,10.52,11.7
2024-25,south-west,South West,gross_operating_surplus,8.55,9.5
2024-25,south-west,South West,corporation_tax,6.25,6.9
2024-25,south-west,South West,council_tax,4.79,5.3
2024-25,south-west,South West,interest_and_dividends,2.36,2.6
2024-25,south-west,South West,fuel_duties,2.35,2.6
2024-25,south-west,South West,excise_duties,2.02,2.2
2024-25,south-west,South West,business_rates,1.9,2.1
2024-25,south-west,South West,capital_gains_tax,1.12,1.2
2024-25,england,England,income_tax,270.98,27.5
2024-25,england,England,national_insurance,151.21,15.3
2024-25,england,England,vat,146.32,14.8
2024-25,england,England,other,115.42,11.7
2024-25,england,England,corporation_tax,83.33,8.5
2024-25,england,England,gross_operating_surplus,65.57,6.6
2024-25,england,England,council_tax,42.02,4.3
2024-25,england,England,interest_and_dividends,36.3,3.7
2024-25,england,England,business_rates,25.34,2.6
2024-25,england,England,fuel_duties,20.18,2.0
2024-25,england,England,excise_duties,16.76,1.7
2024-25,england,England,capital_gains_tax,12.66,1.3
2024-25,wales,Wales,income_tax,9.05,21.7
2024-25,wales,Wales,vat,7.97,19.1
2024-25,wales,Wales,national_insurance,6.11,14.6
2024-25,wales,Wales,other,5.5,13.2
2024-25,wales,Wales,gross_operating_surplus,3.02,7.2
2024-25,wales,Wales,council_tax,2.32,5.6
2024-25,wales,Wales,corporation_tax,2.26,5.4
2024-25,wales,Wales,interest_and_dividends,1.95,4.7
2024-25,wales,Wales,fuel_duties,1.26,3.0
2024-25,wales,Wales,excise_duties,1.09,2.6
2024-25,wales,Wales,business_rates,0.98,2.3
2024-25,wales,Wales,capital_gains_tax,0.25,0.6
2024-25,scotland,Scotland,income_tax,20.7,22.6
2024-25,scotland,Scotland,vat,14.27,15.6
2024-25,scotland,Scotland,other,14.26,15.6
2024-25,scotland,Scotland,national_insurance,13.0,14.2
2024-25,scotland,Scotland,gross_operating_surplus,8.34,9.1
2024-25,scotland,Scotland,corporation_tax,6.01,6.6
2024-25,scotland,Scotland,interest_and_dividends,4.55,5.0
2024-25,scotland,Scotland,council_tax,3.08,3.4
2024-25,scotland,Scotland,business_rates,2.81,3.1
2024-25,scotland,Scotland,fuel_duties,2.13,2.3
2024-25,scotland,Scotland,excise_duties,1.9,2.1
2024-25,scotland,Scotland,capital_gains_tax,0.66,0.7
2024-25,northern-ireland,Northern Ireland,income_tax,5.18,21.1
2024-25,northern-ireland,Northern Ireland,other,5.04,20.5
2024-25,northern-ireland,Northern Ireland,vat,4.74,19.3
2024-25,northern-ireland,Northern Ireland,national_insurance,3.5,14.3
2024-25,northern-ireland,Northern Ireland,interest_and_dividends,1.53,6.2
2024-25,northern-ireland,Northern Ireland,corporation_tax,1.5,6.1
2024-25,northern-ireland,Northern Ireland,gross_operating_surplus,1.41,5.7
2024-25,northern-ireland,Northern Ireland,fuel_duties,0.79,3.2
2024-25,northern-ireland,Northern Ireland,excise_duties,0.71,2.9
2024-25,northern-ireland,Northern Ireland,capital_gains_tax,0.12,0.5
2024-25,northern-ireland,Northern Ireland,business_rates,0.01,0.0
2024-25,northern-ireland,Northern Ireland,council_tax,0.0,0.0
2024-25,uk,United Kingdom,income_tax,305.9,26.7
2024-25,uk,United Kingdom,national_insurance,173.82,15.2
2024-25,uk,United Kingdom,vat,173.29,15.1
2024-25,uk,United Kingdom,other,140.22,12.3
2024-25,uk,United Kingdom,corporation_tax,93.1,8.1
2024-25,uk,United Kingdom,gross_operating_surplus,78.33,6.8
2024-25,uk,United Kingdom,council_tax,47.42,4.1
2024-25,uk,United Kingdom,interest_and_dividends,44.33,3.9
2024-25,uk,United Kingdom,business_rates,29.13,2.5
2024-25,uk,United Kingdom,fuel_duties,24.36,2.1
2024-25,uk,United Kingdom,excise_duties,20.45,1.8
2024-25,uk,United Kingdom,capital_gains_tax,13.69,1.2
